Domain,Sub_domain,Question,Answer,Explanation (detailed),"Refer to, quote"
금융보안법률,전자금융,"전자금융거래법 제2조에 따르면, 전자금융업자가 제공하는 서비스에 해당하는 것은 무엇인가?
1 대출 상담
2 계좌 개설
3 온라인 송금
4 보험 가입",3 온라인 송금,"전자금융거래법 제2조에서는 전자금융업자가 제공하는 서비스로 전자적 방식의 금융거래를 명시하고 있다. 온라인 송금은 전자적 방식으로 이루어지는 금융거래로, 전자금융업자가 제공하는 서비스에 해당한다. 대출 상담, 계좌 개설, 보험 가입은 전자적 방식의 금융거래가 아니므로 해당하지 않는다.",전자금융거래법 제2조 정의
금융보안법률,전자금융,"전자금융거래에서 전자문서의 사용에 관한 설명으로 옳은 것은?
1 전자문서는 모든 거래에서 동일한 것으로 간주된다.
2 전자문서는 전자금융거래계약에 따라 확인절차를 거칠 수 있다.
3 전자문서는 「전자문서 및 전자거래 기본법」의 적용을 받지 않는다.
4 전자문서는 금융회사에 의해 일괄적으로 관리된다.",2 전자문서는 전자금융거래계약에 따라 확인절차를 거칠 수 있다.,"전자금융거래에서 사용되는 전자문서는 「전자문서 및 전자거래 기본법」의 적용을 받으며, 금융회사 또는 전자금융업자가 거래지시와 관련하여 수신한 전자문서는 각 문서마다 독립된 것으로 본다. 다만, 금융회사 또는 전자금융업자와 이용자 사이에 전자금융거래계약에 따라 확인절차를 거치는 경우에는 그 절차에 따른다.","""전자금융거래법 제5조(전자문서의 사용)"""
금융보안법률,전자금융,"금융회사 등이 전자적 장치의 작동오류로 인해 이용자의 접근매체를 획득한 경우, 반환 시 필요한 조치는 무엇인가?
1 접근매체의 즉시 폐기
2 본인임을 확인할 수 있는 신분증 제시 요청
3 접근매체의 임시 보관
4 접근매체의 대여",2 본인임을 확인할 수 있는 신분증 제시 요청,"금융회사 등이 전자적 장치의 작동오류 등으로 이용자의 접근매체를 획득한 경우, 반환 시 본인임을 확인하기 위해 신분증 제시를 요청할 수 있다.","""제6조 접근매체의 선정과 사용 및 관리"""
금융보안법률,전자금융,"전자금융거래법 제6조의2에 따르면, 불법 광고에 이용된 전화번호에 대해 전기통신역무 제공의 중지를 요청할 수 있는 기관은?
1 과학기술정보통신부장관
2 검찰총장
3 금융회사
4 방송통신위원회",2 검찰총장,"제6조의2에 따르면, 검찰총장, 경찰청장 또는 금융감독원장이 불법 광고에 이용된 전화번호를 확인한 경우, 과학기술정보통신부장관에게 해당 전화번호에 대한 전기통신역무 제공의 중지를 요청할 수 있다.","""제6조의2(불법 광고에 이용된 전화번호의 이용중지 등) 1 검찰총장, 경찰청장 또는 금융감독원장은 제6조제3항제5호에 따른 불법광고에 이용된 전화번호를 확인한 때에는 과학기술정보통신부장관에게 해당 전화번호에 대한 전기통신역무 제공의 중지를 요청할 수 있다."""
금융보안법률,전자금융,"다음 중 전자금융거래법 제6조의3에 따라 계좌정보의 사용 및 관리에 대한 설명으로 옳은 것은?
1 계좌정보는 범죄에 이용될 가능성이 있어도 제공할 수 있다.
2 계좌정보는 범죄에 이용될 것을 알면서도 보관할 수 있다.
3 계좌정보는 범죄에 이용될 목적으로 제공받아서는 안 된다.
4 계좌정보는 범죄에 이용될 가능성이 있어도 유통할 수 있다.",3 계좌정보는 범죄에 이용될 목적으로 제공받아서는 안 된다.,"""제6조의3""에 따르면, 계좌와 관련된 정보를 범죄에 이용할 목적으로 제공받거나 제공하는 행위는 금지되어 있다. 따라서 계좌정보는 범죄에 이용될 목적으로 제공받아서는 안 된다.",전자금융거래법 제6조의3
금융보안법률,전자금융,"전자금융거래법 제7조에 따라 금융회사 또는 전자금융업자가 거래내용을 확인할 수 있도록 해야 하는 경우, 전자적 장치의 운영장애로 인해 거래내용을 확인할 수 없는 때에는 어떻게 해야 하는가?
1 즉시 이용자에게 서면으로 알린다.
2 즉시 인터넷 등을 이용하여 그 사유를 알린다.
3 즉시 전화로 이용자에게 알린다.
4 즉시 전자우편으로 이용자에게 알린다.",2 즉시 인터넷 등을 이용하여 그 사유를 알린다.,"전자금융거래법 제7조에 따르면, 금융회사 또는 전자금융업자는 전자적 장치의 운영장애로 인해 거래내용을 확인할 수 없는 경우, 즉시 인터넷 등을 이용하여 그 사유를 이용자에게 알려야 한다. 이는 이용자가 거래내용을 확인할 수 있도록 하기 위한 조치이다.","전자금융거래법 제7조(거래내용의 확인 등) 1

---"
금융보안법률,전자금융,"전자금융거래법 제7조에 따라 거래내용의 대상기간은 무엇에 따라 결정되는가?
1 전자금융거래의 종류
2 전자금융거래기록의 보존기간
3 전자금융거래의 금액
4 전자금융거래의 상대방 정보",2 전자금융거래기록의 보존기간,"전자금융거래법 제7조에 따르면, 거래내용의 대상기간은 전자금융거래기록의 보존기간에 따라 결정된다. 이는 거래내용의 확인 및 보존을 위한 기준을 명확히 하기 위한 것이다.",전자금융거래법 제7조(거래내용의 확인 등) 3
금융보안법률,전자금융,"금융회사 또는 전자금융업자가 이용자에게 손해를 배상할 책임이 있는 경우로 옳은 것은?
1 접근매체의 위조나 변조로 발생한 사고
2 이용자의 고의로 인한 사고
3 전자금융거래와 무관한 사고
4 금융회사의 내부 규정 위반으로 인한 사고",1 접근매체의 위조나 변조로 발생한 사고,"금융회사 또는 전자금융업자는 접근매체의 위조나 변조로 인해 발생한 사고로 이용자에게 손해가 발생한 경우, 그 손해를 배상할 책임이 있다. 이는 전자금융거래법 제9조에 명시된 내용이다.",전자금융거래법 제9조
금융보안법률,전자금융,"다음 중 금융회사 또는 전자금융업자가 책임을 일부 또는 전부 이용자에게 부담시킬 수 있는 경우는?
1 접근매체의 위조로 인한 사고
2 이용자의 중대한 과실로 인한 사고
3 전자금융거래와 무관한 사고
4 금융회사의 내부 규정 위반으로 인한 사고",2 이용자의 중대한 과실로 인한 사고,"금융회사 또는 전자금융업자는 이용자의 고의나 중대한 과실이 있는 경우, 그 책임의 전부 또는 일부를 이용자가 부담하게 할 수 있다. 이는 전자금융거래법 제9조에 명시된 내용이다.",전자금융거래법 제9조
금융보안법률,전자금융,"전자지급거래계약의 효력에 관한 설명으로 옳은 것은?
1 금융회사는 전자지급거래를 위해 수취인에게 직접 자금을 지급해야 한다.
2 전자금융업자는 지급이 이루어지지 않을 경우 수취인에게 자금을 반환해야 한다.
3 지급인이 거래지시한 금액은 수취인의 금융회사에 전송되어야 한다.
4 전자지급거래는 지급인의 과실로 인해 이루어지지 않을 경우에도 비용을 공제할 수 없다.",3 지급인이 거래지시한 금액은 수취인의 금융회사에 전송되어야 한다.,"전자지급거래계약의 효력에 따르면, 금융회사 또는 전자금융업자는 지급인 또는 수취인과 전자지급거래를 하기 위해 체결한 약정에 따라 수취인이나 수취인의 금융회사 또는 전자금융업자에게 지급인 또는 수취인이 거래지시한 금액을 전송하여 지급이 이루어지도록 해야 한다. 따라서 3번이 옳은 설명이다.",제12조 전자지급거래계약의 효력
금융보안법률,전자금융,"전자금융거래법 제13조에 따르면, 전자자금이체의 지급 효력이 발생하는 시점은 언제인가?
1 원장에 입금기록이 끝난 때
2 전자자금이체 명령이 발신된 때
3 전자자금이체가 완료된 때
4 전자자금이체가 승인된 때",1 전자자금이체 명령이 수신된 때,"전자금융거래법 제13조에 따르면, 전자자금이체의 지급 효력은 전자자금이체 명령이 수신된 때 발생한다. 이는 전자금융거래의 안전성과 신뢰성을 확보하기 위한 규정으로, 명령이 수신된 시점을 기준으로 지급의 효력이 발생함을 명확히 하고 있다.",전자금융거래법 제13조
금융보안법률,전자금융,"전자금융거래법 제14조에 따르면, 이용자가 거래지시를 철회할 수 있는 시점은 언제인가?
1 지급의 효력이 발생한 후
2 지급의 효력이 발생하기 전
3 거래가 완료된 후
4 거래가 시작된 후",2 지급의 효력이 발생하기 전,"전자금융거래법 제14조에 따르면, 이용자는 지급의 효력이 발생하기 전까지 거래지시를 철회할 수 있다. 이는 이용자가 거래를 취소할 수 있는 시점을 명확히 규정하여 이용자의 권리를 보호하기 위한 조치이다.",전자금융거래법 제14조(거래지시의 철회) 1이용자는 제13조제1항 각 호의 규정에 따라 지급의 효력이 발생하기 전까지 거래지시를 철회할 수 있다.
금융보안법률,전자금융,"전자금융거래법 제14조에 의하면, 대량으로 처리하는 거래의 경우 거래지시 철회 시기를 어떻게 정할 수 있는가?
1 금융회사가 임의로 결정한다.
2 이용자가 임의로 결정한다.
3 미리 정한 약정에 따라 정할 수 있다.
4 거래가 완료된 후에 정할 수 있다.",3 미리 정한 약정에 따라 정할 수 있다.,"전자금융거래법 제14조 제2항에 따르면, 대량으로 처리하는 거래나 예약에 따른 거래의 경우 금융회사 또는 전자금융업자와 이용자는 미리 정한 약정에 따라 거래지시의 철회 시기를 달리 정할 수 있다. 이는 대량 거래의 특성을 고려하여 유연한 철회 시기를 설정할 수 있도록 한 규정이다.",전자금융거래법 제14조(거래지시의 철회) 2제1항의 규정에 불구하고 금융회사 또는 전자금융업자와 이용자는 대량으로 처리하는 거래 또는 예약에 따른 거래 등의 경우에는 미리 정한 약정에 따라 거래지시의 철회시기를 달리 정할 수 있다.
금융보안법률,전자금융,"전자금융거래법 제15조에 따라 추심이체의 출금 동의를 받는 방법으로 적절한 것은?
1 금융회사가 지급인으로부터 구두로 동의를 받는 방법
2 수취인이 지급인으로부터 서면으로 동의를 받아 금융회사에 전달하는 방법
3 전자금융업자가 지급인에게 이메일로 동의를 요청하는 방법
4 수취인이 지급인으로부터 구두로 동의를 받아 전자금융업자에게 전달하는 방법",2 수취인이 지급인으로부터 서면으로 동의를 받아 금융회사에 전달하는 방법,"제15조에 따르면, 추심이체의 출금 동의는 금융회사 또는 전자금융업자가 지급인으로부터 서면 또는 녹취 등 금융위원회가 정하는 방법으로 받아야 한다. 또한, 수취인이 지급인으로부터 서면 또는 녹취 등으로 동의를 받아 금융회사 또는 전자금융업자에게 전달하는 방법도 가능하다.","""제10조(출금 동의의 방법) 법 제15조제1항에 따라 지급인으로부터 출금에 대한 동의를 얻는 방법은 다음 각 호와 같다."""
금융보안법률,전자금융,"전자금융거래법 제15조에 명시된 출금 동의 방법 중 금융위원회가 정하는 방법에 해당하지 않는 것은?
1 서면 동의
2 녹취 동의
3 이메일 동의
4 전자문서 동의",3 이메일 동의,"제15조에 따르면, 출금 동의는 서면, 녹취, 전자문서 등 금융위원회가 정하는 방법으로 이루어져야 한다. 이메일 동의는 명시된 방법에 포함되지 않는다.","""금융회사 또는 전자금융업자가 지급인으로부터 서면(금융위원회가 정하여 고시하는 전자문서를 포함한다) 또는 녹취 등 금융위원회가 정하는 방법으로 출금 동의를 받는 방법"""
금융보안법률,전자금융,"전자화폐를 발행하는 금융회사 또는 전자금융업자가 전자화폐를 발행할 때 반드시 해야 할 조치로 옳은 것은?
1 전자화폐의 발행 시 식별번호를 부여하고 실지명의 또는 예금계좌와 연결하여 관리해야 한다.
2 전자화폐의 발행 시 현금과 동일한 가치로 교환할 필요는 없다.
3 전자화폐 보유자의 요청에 따라 전자화폐를 현금으로 교환할 의무는 없다.
4 전자화폐의 발행 및 교환의 방법과 절차는 금융회사가 자율적으로 정한다.",1 전자화폐의 발행 시 식별번호를 부여하고 실지명의 또는 예금계좌와 연결하여 관리해야 한다.,"전자화폐를 발행하는 금융회사 또는 전자금융업자는 전자화폐를 발행할 경우, 접근매체에 식별번호를 부여하고 그 식별번호와 이용자의 실지명의 또는 예금계좌를 연결하여 관리해야 한다. 이는 전자화폐의 안전한 발행과 사용을 보장하기 위한 필수적인 조치이다.","제16조(전자화폐의 발행과 사용 및 환금) 1

---"
금융보안법률,전자금융,"전자화폐발행자가 전자화폐 보유자의 교환 요청에 따라 해야 할 조치로 옳은 것은?
1 전자화폐를 현금 또는 예금으로 교환할 의무가 없다.
2 전자화폐를 발행한 모든 장소에서 교환에 응해야 한다.
3 전자화폐의 교환 요구 시 15일 이내에 처리해야 한다.
4 전자화폐의 교환은 발행자의 중앙전산시스템을 경유하지 않아도 된다.",2 전자화폐를 발행한 모든 장소에서 교환에 응해야 한다.,"전자화폐발행자는 전자화폐 보유자가 전자화폐를 현금 또는 예금으로 교환할 것을 요청하는 경우, 이를 발행한 모든 장소에서 교환에 응해야 한다. 이는 전자화폐 보유자의 편의를 보장하기 위한 조치이다.",제16조(전자화폐의 발행과 사용 및 환금) 4
금융보안법률,전자금융,"전자화폐보유자가 재화를 구입하고 그 대금을 전자화폐로 지급한 경우, 그 대금의 지급에 관한 채무는 어떻게 되는가?
1 변제되지 않는다.
2 변제된 것으로 본다.
3 일부만 변제된 것으로 본다.
4 변제 여부는 수취인에 따라 다르다.",2 변제된 것으로 본다.,"전자화폐보유자가 재화를 구입하거나 용역을 제공받고 그 대금을 수취인과의 합의에 따라 전자화폐로 지급한 때에는 그 대금의 지급에 관한 채무는 변제된 것으로 본다. 이는 전자화폐의 지급 효력을 명확히 규정한 것으로, 전자화폐를 통한 거래가 법적으로 유효하게 인정됨을 의미한다.","제17조(전자화폐에 의한 지급의 효력)

---"
금융보안법률,전자금융,"전자화폐로 대금을 지급할 때, 지급의 효력이 발생하기 위한 조건은 무엇인가?
1 전자화폐보유자가 동의해야 한다.
2 수취인과의 합의가 있어야 한다.
3 금융회사의 승인이 필요하다.
4 전자화폐의 발행자가 보증해야 한다.",2 수취인과의 합의가 있어야 한다.,"전자화폐로 대금을 지급할 때, 그 지급의 효력이 발생하기 위해서는 수취인과의 합의가 필요하다. 이는 전자화폐를 통한 거래가 쌍방의 동의 하에 이루어져야 함을 의미하며, 이러한 합의가 있을 경우에만 지급의 효력이 인정된다.",제17조(전자화폐에 의한 지급의 효력)
금융보안법률,전자금융,"전자화폐 보유자가 전자화폐를 타인에게 양도하거나 담보로 제공할 수 있는 조건으로 올바른 것은?
1 발행자의 중앙전산시스템을 경유해야 한다.
2 발행자의 동의 없이 양도할 수 있다.
3 실지명의가 확인되지 않아야 한다.
4 발행자의 승인 없이 담보로 제공할 수 있다.",1 발행자의 중앙전산시스템을 경유해야 한다.,전자화폐 보유자가 전자화폐를 타인에게 양도하거나 담보로 제공할 때는 반드시 발행자의 중앙전산시스템을 경유해야 한다. 이는 전자화폐의 양도 및 담보 제공의 안전성과 신뢰성을 확보하기 위한 절차이다.,제18조(전자화폐 등의 양도성) 2제1항의 규정에 따라 선불전자지급수단 또는 전자화폐를 양도하거나 담보로 제공하는 경우에는 반드시 발행자의 중앙전산시스템을 경유하여야 한다.
금융보안법률,전자금융,"다음 중 전자화폐의 양도성에 대한 설명으로 옳지 않은 것은?
1 전자화폐는 발행자와의 약정에 따라 타인에게 양도할 수 있다.
2 실지명의가 확인되지 않는 경우에도 양도할 수 있다.
3 전자화폐는 담보로 제공할 수 없다.
4 양도 시 발행자의 중앙전산시스템을 경유해야 한다.",3 전자화폐는 담보로 제공할 수 없다.,"전자화폐는 발행자와의 약정에 따라 타인에게 양도하거나 담보로 제공할 수 있다. 다만, 양도나 담보 제공 시에는 발행자의 중앙전산시스템을 경유해야 한다. 실지명의가 확인되지 않는 경우에도 양도가 가능하다.",제18조(전자화폐 등의 양도성) 1선불전자지급수단 보유자 또는 전자화폐 보유자는 발행자와의 약정에 따라 선불전자지급수단 또는 전자화폐를 타인에게 양도하거나 담보로 제공할 수 있다.
