Question,Answer,Keyword
전자금융업자의 자본금 요건이 업무별로 3억에서 20억까지 차등화된 정책적 이유를 설명하세요.,"업무별 자금 취급 규모와 결제 리스크가 다르기 때문입니다. 직접 자금이체는 리스크가 커 자본금이 높고, PG는 낮습니다.",자본금 차등화
CISO의 독립성 확보를 위해 금융회사가 갖추어야 할 인사 및 조직상 통제 방안은 무엇인가요?,CISO가 타 부서(현업/IT) 업무를 겸직하지 않고 대표이사에게 직접 보고하는 체계를 갖춰야 합니다.,CISO 독립성
금융권 클라우드 서비스 이용 시 '안전성 평가'가 강제되는 배경을 데이터 보호 측면에서 서술하세요.,외부 인프라 이용에 따른 데이터 유출 리스크를 사전 점검하고 금융 보안 가이드를 준수하기 위함입니다.,클라우드 안전성 평가
전자금융보조업자와의 제휴 시 계약서에 포함되어야 할 보안 책임 소재 명시의 중요성을 설명하세요.,사고 발생 시 책임 범위를 명확히 하고 금융당국의 감독권을 보조업자까지 확장하기 위함입니다.,보조업자 책임
금융회사 보안 예산 중 '7% 이상 편성' 권고가 실무적으로 갖는 의미를 서술하세요.,IT 투자 시 보안을 부차적 요소가 아닌 필수 요소로 인식하게 하여 인프라 전반의 보안 수준을 보장합니다.,보안 예산 7%
금융권 내부통제 중 '직무 분리(Segregation of Duties)'가 부정 방지에 기여하는 원리를 설명하세요.,"개발과 운영, 승인과 집행 권한을 나누어 단독으로 부당한 시스템 조작을 할 수 없게 차단합니다.",직무 분리
외주 보안관리 시 '파견 인력'에 대한 신원조사와 보안 교육이 필수적인 이유를 기술하세요.,내부 시스템 접근 권한을 가진 외부인에 의한 정보 유출 및 악의적 행위 가능성을 사전에 최소화하기 위함입니다.,외주 인력 보안
금융기관의 '비상대응 계획(BCP)' 수립 시 핵심 업무와 복구 우선순위 선정 기준을 설명하세요.,고객 결제 및 자금이체 등 금융망 전체 파급력이 큰 업무를 최우선 복구 대상으로 설정합니다.,"BCP, 업무 연속성"
디지털 금융 비즈니스 모델 설계 시 'Security by Design' 원칙 적용 방안을 제시하세요.,기획 단계부터 보안 요구사항을 정의하고 개발 및 테스트 전 과정에 보안 검증을 통합합니다.,Security by Design
금융보안 3선 방어 체계(Three Lines of Defense)에서 각 선의 주체와 역할을 구분하세요.,"1선은 현업(운영), 2선은 보안/리스크 관리, 3선은 내부 감사 부서가 독립적으로 상호 견제합니다.",3선 방어 체계
금융회사 이사회가 정보보호 정책을 최종 승인해야 하는 법적/관리적 이유를 설명하세요.,보안 리스크를 경영진 차원의 핵심 리스크로 인식하고 전사적인 자원 할당을 보장하기 위함입니다.,이사회 보안 책임
정보보호 위원회 구성 시 IT 부문 외 현업 부서장이 참여해야 하는 실무적 이유는 무엇인가요?,현업의 비즈니스 가용성과 보안 정책 간의 충돌을 조정하고 전사적인 보안 합의를 도출하기 위함입니다.,정보보호 위원회
금융권 침해사고 대응팀(CERT) 운영 시 금융보안원과의 정보 공유 체계(ISAC)의 이점을 서술하세요.,타 기관의 최신 공격 정보를 실시간으로 공유받아 선제적으로 보안 조치를 취할 수 있습니다.,"ISAC, 정보 공유"
보안 KPI(핵심성과지표) 설정 시 단순 사고 건수 외에 고려해야 할 지표 2가지를 제시하세요.,"보안 취약점 조치율, 임직원 보안 교육 이수율, 침해 사고 대응 훈련 성공률 등이 있습니다.",보안 KPI
공급망 보안 관리(Supply Chain Security)가 최근 금융 거버넌스에서 강조되는 배경을 설명하세요.,서드파티 소프트웨어나 라이브러리(OSS)의 취약점이 금융 서비스 전체의 위협으로 전이될 수 있기 때문입니다.,공급망 보안
보안 규제 준수(Compliance)와 리스크 관리(Risk Management)의 실무적 차이점을 서술하세요.,"컴플라이언스는 법적 최소 요건 충족에 초점을 두며, 리스크 관리는 실제 발생 가능한 위협을 평가하고 대응합니다.",컴플라이언스 vs 리스크
자율 보안 체계로의 전환 환경에서 '책임성(Accountability)' 모델이 강조되는 이유를 설명하세요.,형식적 규제 준수를 넘어 금융회사가 스스로 리스크를 판단하고 사고 시 실질적 책임을 지도록 하기 위함입니다.,자율 보안 책임성
금융 데이터 수집 시 '데이터 최소화(Data Minimization)' 원칙이 거버넌스에 미치는 영향을 기술하세요.,불필요한 데이터 보유를 줄여 관리 비용을 절감하고 사고 시 유출 피해 범위를 최소화합니다.,데이터 최소화
파일 암호화 방식과 DB 커널 암호화(TDE) 방식의 장단점을 보안성과 성능 측면에서 비교하세요.,"TDE는 앱 수정이 없으나 성능 저하가 있고, 파일 암호화는 개별 제어가 가능하나 관리가 복잡합니다.",TDE vs 파일 암호화
비대칭 암호에서 '공개키 인프라(PKI)'를 통한 사용자 인증 원리를 설명하세요.,인증기관이 발행한 인증서 내 공개키로 서명을 검증하여 사용자의 신원과 데이터 무결성을 보장합니다.,PKI 인증
금융 앱에 적용되는 '화면 캡처 방지' 기술의 원리와 보안 목적을 서술하세요.,OS API를 제어해 화면 캡처를 막음으로써 모바일 뱅킹 시 민감 정보가 이미지로 유출되는 것을 차단합니다.,화면 캡처 방지
무선 통신망 보안을 위해 금융권이 사용하는 WPA3 프로토콜의 주요 특징을 설명하세요.,강화된 암호화와 사전 공유 키 공격에 강한 SAE(Simultaneous Authentication of Equals)를 지원합니다.,WPA3 보안
HSM(Hardware Security Module)이 소프트웨어 기반 키 관리보다 안전한 기술적 근거를 제시하세요.,암호키를 하드웨어 칩 내부에 저장하고 외부 유출을 물리적으로 차단하며 암호 연산을 가속화합니다.,HSM 키 관리
금융 데이터 전송 시 SSL/TLS 암호화가 '중간자 공격(MITM)'을 방지하는 매커니즘을 설명하세요.,서버 인증서를 통한 신원 확인과 세션키 암호화로 공격자가 통신 내용을 가로채거나 위조하지 못하게 합니다.,"TLS, MITM 방어"
키보드 보안 프로그램이 '키로깅(Keylogging)' 악성코드를 탐지하고 방어하는 방식을 서술하세요.,키 입력 값을 커널 수준에서 직접 가로채 암호화하거나 가상 키보드를 사용하여 입력을 보호합니다.,키보드 보안
OTP(One Time Password) 생성 방식 중 시간 동기화(TOTP) 방식의 보안상 이점을 설명하세요.,매 순간 변하는 일회성 번호를 생성하여 고정 패스워드 탈취 및 재전송 공격을 효과적으로 방어합니다.,TOTP 보안
금융 거래 무결성 보장을 위해 사용되는 '메시지 인증 코드(MAC)'의 역할을 설명하세요.,데이터와 비밀키를 해시하여 생성한 코드 값을 비교함으로써 전송 중 데이터 변조 여부를 확인합니다.,"MAC, 무결성"
개인정보 영향평가 수행 시 '침해 지수' 산출 기준에 대해 설명하세요.,유출 시 정보 주체에게 미칠 수 있는 피해 정도와 사고 발생 가능성을 계량화하여 평가합니다.,영향평가 지수
가명정보 처리 시 '식별 가능성'을 낮추기 위한 K-익명성 기법의 원리를 서술하세요.,동일한 속성을 가진 레코드를 K개 이상 포함시켜 특정 개인을 추론하지 못하게 그룹화합니다.,K-익명성
정보주체의 '열람권' 요청 시 금융회사가 제공해야 할 정보의 범위를 기술하세요.,"보유한 개인정보 내용, 수집 목적, 제3자 제공 현황 및 동의 여부 등을 포함해야 합니다.",개인정보 열람권
개인정보 유출 사고 시 5일 이내 신고 의무가 발생하는 법적 문턱(Threshold)을 설명하세요.,"1,000명 이상의 정보 유출이 발생하거나 민감 정보 유출 시 즉시 신고해야 합니다.",유출 신고 기준
