Question,Answer,Keyword
Explain the policy rationale for differentiating capital requirements for electronic financial service providers (ranging from 300 million to 2 billion KRW).,"This is due to differences in the scale of funds handled and the inherent settlement risks per business type. Direct fund transfers involve higher risks and require higher capital, while PG services have lower requirements.","Capital Requirement Differentiation, Risk Management"
What organizational measures should financial companies take to ensure the independence of the CISO?,Establishing a reporting line directly to the CEO and prohibiting the CISO from holding concurrent positions in IT operations or business departments.,"CISO Independence, Reporting Line"
Explain the background of mandatory security assessments for financial cloud services in terms of data protection.,To preemptively inspect data leak risks associated with using external infrastructure and ensure compliance with financial security guidelines.,"Cloud Security Assessment, Data Protection"
Why is it important to clearly define security responsibilities in contracts with electronic financial auxiliary service providers?,To clarify the scope of liability in the event of an accident and extend the supervisory authority of financial regulators to the auxiliary providers.,"Auxiliary Provider Liability, Contractual Security"
Describe the significance of the '7% or more' recommendation for the information security budget in financial companies.,"It ensures that security is treated as a core requirement rather than an optional expense, guaranteeing a baseline level of security across the infrastructure.","Security Budget, 7% Rule"
Explain how the principle of 'Segregation of Duties' in internal controls contributes to fraud prevention.,"By separating authorities between developers and operators, or approvers and executors, it prevents a single individual from performing unauthorized system manipulations.","Segregation of Duties, Internal Control"
Why are background checks and security training essential for outsourced personnel in financial institutions?,To minimize the risk of information leakage or malicious actions by external individuals who have access to internal systems.,"Outsourcing Security, Personnel Vetting"
Explain the criteria for selecting core business functions and recovery priorities in a Business Continuity Plan (BCP).,"Functions with high systemic impact, such as customer payments and fund transfers, are prioritized for immediate recovery.","BCP, RTO, Critical Functions"
Suggest ways to apply the 'Security by Design' principle when designing digital financial business models.,Defining security requirements at the planning stage and integrating security verification throughout the development and testing lifecycle.,"Security by Design, SDLC"
Distinguish the roles of each line in the 'Three Lines of Defense' model for financial security.,"The 1st line is business operations; the 2nd line is security and risk management; the 3rd line is the internal audit department, providing independent oversight.","Three Lines of Defense, Governance"
Explain the legal and administrative reasons why the Board of Directors must approve information security policies.,To recognize security risks as core business risks and ensure전략적 전사적 resource allocation at the executive level.,"Board Responsibility, Governance"
