Domain,Sub_domain,Question,Answer,Explanation (detailed),"Refer to, quote"
금융보안일반,전자금융보안,"전자금융데이터 보안을 위해 금융회사가 적용해야 할 암호화 방식으로 적절한 것은?
1 무선통신망 암호화
2 파일 암호화
3 블록체인 암호화
4 다크웹 암호화",2 파일 암호화,"전자금융데이터 보안을 위해 금융회사는 전자금융데이터를 안전하게 저장하기 위해 암호화를 적용해야 한다. 특히, 파일이나 로그와 같은 비정형 데이터의 경우 파일 암호화 방식을 적용하는 것이 적절하다.","금융부문 암호기술 활용 가이드 (금융보안원, 2019)"
금융보안일반,전자금융보안,"전자금융데이터 보안에서 암호화 방식에 대한 설명으로 옳은 것은?
1 정형 데이터는 파일 암호화만 가능하다.
2 비정형 데이터는 다양한 암호화 방식을 적용할 수 있다.
3 정형 데이터는 Plug-in, API, Hybrid 등의 암호화 방식을 적용할 수 있다.
4 비정형 데이터는 TDE 암호화 방식을 적용할 수 있다.","3 정형 데이터는 Plug-in, API, Hybrid 등의 암호화 방식을 적용할 수 있다.","정형 데이터는 DB와 같은 금융정보나 개인(신용)정보를 포함하며, 다양한 암호화 방식인 Plug-in, API, Hybrid, TDE, 파일 암호화 등을 적용할 수 있다. 반면, 비정형 데이터는 파일이나 로그와 같은 데이터로, API나 파일 암호화 방식이 주로 사용된다.","금융부문 암호기술 활용 가이드 (금융보안원, 2019)

---"
금융보안일반,전자금융보안,"네트워크 접근통제(NAC)에 대한 설명으로 옳지 않은 것은?
1 NAC는 네트워크에 대한 불법 접근을 방지한다.
2 NAC는 사용자 인증을 통해 네트워크 접근을 제어한다.
3 NAC는 네트워크 트래픽을 암호화하여 보호한다.
4 NAC는 네트워크에 연결된 장치의 보안 상태를 점검한다.",3 NAC는 네트워크 트래픽을 암호화하여 보호한다.,"네트워크 접근통제(NAC)는 네트워크에 대한 불법 접근을 방지하고, 사용자 인증을 통해 네트워크 접근을 제어하며, 네트워크에 연결된 장치의 보안 상태를 점검하는 역할을 한다. 그러나 NAC는 네트워크 트래픽을 암호화하는 기능을 포함하지 않는다.","금융전산자료 보호대책, 네트워크 접근통제 (NAC)"
금융보안일반,전자금융보안,"다크웹과 표적형 공격에 대한 설명으로 옳지 않은 것은?
1 다크웹은 일반적인 검색 엔진으로 접근이 가능하다.
2 표적형 공격은 특정 개인이나 조직을 목표로 한다.
3 다크웹은 익명성을 보장하는 네트워크를 사용한다.
4 표적형 공격은 주로 사회공학 기법을 활용한다.",1 다크웹은 일반적인 검색 엔진으로 접근이 가능하다.,"다크웹은 일반적인 검색 엔진으로 접근할 수 없으며, 익명성을 보장하는 특수한 네트워크를 통해서만 접근이 가능하다. 표적형 공격은 특정 개인이나 조직을 목표로 하며, 사회공학 기법을 활용하여 정보를 탈취하거나 시스템에 침투한다.","금융보안원 자료, 다크웹과 표적형 공격 관련 내용"
금융보안일반,전자금융보안,"전자금융데이터 보안에서 암호화 방식의 선택 시 고려해야 할 사항으로 가장 적절한 것은?
1 데이터의 정형 여부
2 데이터의 저장 위치
3 데이터의 전송 속도
4 데이터의 사용자 수",1 데이터의 정형 여부,"전자금융데이터 보안에서 암호화 방식을 선택할 때는 데이터의 유형에 따라 적절한 방식을 선택해야 한다. 정형 데이터(DB)와 비정형 데이터(파일, 로그 등)에 따라 적용 가능한 암호화 방식이 다르기 때문에 데이터의 정형 여부가 중요한 고려 사항이다.","""전자금융데이터 보안"", ""데이터 유형별 암호화 방식"""
금융보안일반,전자금융보안,"신용정보 보호를 위한 관리적 보안대책에 해당하지 않는 것은?
1 개인정보 보호 교육 실시
2 접근 권한 관리
3 데이터 암호화
4 보안 정책 수립",3 데이터 암호화,"신용정보 보호를 위한 관리적 보안대책은 주로 조직 내에서의 정책 수립, 교육, 접근 권한 관리 등 관리적인 측면에서의 보안 대책을 포함한다. 데이터 암호화는 기술적 보안대책에 해당한다.","""신용정보 보호"", ""관리적 보안대책"""
금융보안일반,전자금융보안,"신용정보 보호를 위한 기술적 보안대책으로 가장 적절한 것은?
1 신용정보관리·보호인 지정
2 접근통제
3 개인정보의 출력·복사 기록 관리
4 신용정보의 용도별 출력 항목 최소화",2 접근통제,신용정보 보호를 위한 기술적 보안대책에는 시스템에 대한 접근통제가 포함된다. 이는 금융회사 인프라의 전체 구간에 대해 보호대책을 수립하여 개인(신용) 정보가 처리되는 시스템에 대한 접근을 통제하는 것을 의미한다. 다른 선택지는 관리적 보안대책에 해당한다.,"신용정보의 이용 및 보호에 관한 법률, 신용정보업 감독규정"
금융보안일반,전자금융보안,"전자금융데이터 보안에서 비정형 데이터의 암호화 방식으로 적절한 것은?
1 Plug-in
2 API
3 Hybrid
4 TDE",2 API,"비정형 데이터는 파일이나 로그와 같은 데이터로, 이러한 데이터의 암호화 방식으로는 API와 파일 암호화가 적절하다. Plug-in, Hybrid, TDE는 주로 정형 데이터에 사용된다.","금융부문 암호기술 활용 가이드 (금융보안원, 2019)"
금융보안일반,전자금융보안,"금융 디지털 포렌식 기술의 주요 목적은 무엇인가?
1 전자금융데이터의 암호화
2 금융 거래의 신뢰성 확보
3 금융 데이터의 유출 방지
4 금융 범죄의 증거 수집",4 금융 범죄의 증거 수집,금융 디지털 포렌식 기술은 금융 범죄와 관련된 증거를 수집하고 분석하는 데 사용된다. 이는 금융 거래의 신뢰성 확보나 데이터 유출 방지와는 다른 목적이다.,금융 디지털 포렌식 기술
금융보안일반,전자금융보안,"전자금융거래에서 이용자 인증보안의 주요 목적은 무엇인가?
1 시스템의 성능 향상
2 정당한 이용자 확인
3 데이터 저장 용량 증가
4 네트워크 속도 개선",2 정당한 이용자 확인,"이용자 인증보안의 주요 목적은 시스템이나 네트워크에 접근하는 사용자가 정당한 이용자인지를 확인하는 것이다. 이는 전자금융서비스의 안전성과 신뢰성을 확보하기 위해 필수적인 과정이다. 따라서, 인증보안은 주로 아이디와 비밀번호를 결합한 방식으로 이루어지며, 다양한 인증수단이 사용된다.","""이용자 인증은 이용자가 시스템이나 네트워크에 접근할 때 정당한 이용자임을 입증하는 행위를 말한다.""

---"
